111,https://www.prensa-latina.cu/index.php?o=rn&id=410580&SEO=evo-llama-a-acompanar-y-cuidar-al-presidente-en-bolivia,"... Rodríguez, y de la Cámara de Diputados, Freddy Mamani, así como 
invitados de diversos países, como el candidato presidencial ecuatoriano, 
Andrés Araúz.",hace 1 mes
112,https://www.telesurtv.net/news/candidato-andres-arauz-afirma-no-cumplira-acuerdo-fmi-20201015-0025.html,"El candidato presidencial ecuatoriano por la coalición opositora Unión por 
la Esperanza, Andrés Arauz, afirmó que de ganar la presidencia en ...",15 oct. 2020
113,https://www.latercera.com/mundo/noticia/andres-arauz-candidato-presidencial-ecuatoriano-por-el-correismo-el-presidente-sere-yo-pero-evidentemente-correa-sera-uno-de-mis-principales-asesores/B5VMCKED6ZAPPCM5XI2BS563XA/,"Andrés Arauz junto a Rafael Correa en una tablet durante una conferencia de 
prensa en Quito, el 1 de septiembre. En entrevista con La Tercera, ...",2 oct. 2020
114,https://ww2.elmercurio.com.ec/2020/09/11/rumbo-democratico-propone-a-docente-universitaria-como-binomio-de-andres-arauz/,"... miembro del Frente Patriótico Nacional (FPN) y de Unión por la 
Esperanza (UNES), propuso como binomio de Andrés Arauz, a Carol Murillo ...",11 sep. 2020
115,https://www.telesurtv.net/news/correa-afirma-arauz-rabascall-ganaran-elecciones-ecuador-20201028-0057.html,"Virtudes del binomio de Andres Arauz - Carlos Rabascall. Al cuestionarle 
sobre las virtudes del binomio Arauz-Rabascall, respondió que es ""el ...",hace 1 mes
116,https://confirmado.net/2020/11/09/andres-arauz-confiamos-en-que-el-tce-decida-a-favor-de-nuestra-participacion-electoral/,"Arauz espera que el máximo organismo electoral archive el procedimiento y 
finalmente su candidatura quede en firme. “Nosotros prevemos que ...",hace 1 mes
117,https://www.expreso.ec/actualidad/andres-arauz-carta-presidencial-correismo-elecciones-2021-88166.html,"Lasso competirá, hasta el momento, con al menos una docena de aspirantes 
más. El correísmo le apuesta al exministro Andrés Aráuz, quien ...",17 ago. 2020
118,https://www.elcomercio.com/actualidad/casa-valores-orion-ibcorp-arauz.html,"La ministra de Gobierno, María Paula Romo, habló sobre el candidato Andrés 
Arauz y el vehículo en el que - se movilizó los últimos días.",11 oct. 2020
119,https://confirmado.net/2020/11/17/covid-19-arauz-acuerda-con-presidente-de-argentina-facilitar-acceso-a-la-vacuna-gratuita-y-oportuna/,"El candidato presidencial Andrés Arauz apunta a trabajar de la mano con la 
Argentina para acceder a la vacuna contra la Covid 19.",Hace 3 semanas
120,https://ww2.elmercurio.com.ec/2020/09/11/pierina-correa-posible-candidata-a-vicepresidenta-de-andres-arauz/,"... que acompañaba al joven político Andrés Arauz como aspirante a la 
Presidencia. «Eliminaron a Correa, entonces de nuevo Arauz-Correa», ...",11 sep. 2020
